ID,Title,Description,PageCount,Excerpt,PublishDate
1,"Book Number 1","Book Number 1",100,"excerpt article 1","2022-12-30T22:22:00.000Z"
2,"Book Number 2","Book Number 2",200,"excerpt article 2","2022-12-30T22:22:00.000Z"
3,"Book Number 3","Book Number 3",300,"excerpt article 3","2022-12-30T22:22:00.000Z"
4,"Book Number 4","Book Number 4",400,"excerpt article 4","2022-12-30T22:22:00.000Z"
5,"Book Number 5","Book Number 5",500,"excerpt article 5","2022-12-30T22:22:00.000Z"
6,"Book Number 6","Book Number 6",600,"excerpt article 6","2022-12-30T22:22:00.000Z"
7,"Book Number 7","Book Number 7",700,"excerpt article 7","2022-12-30T22:22:00.000Z"
8,"Book Number 8","Book Number 8",800,"excerpt article 8","2022-12-30T22:22:00.000Z"
9,"Book Number 9","Book Number 9",900,"excerpt article 9","2022-12-30T22:22:00.000Z"
10,"Book Number 10","Book Number 10",1000,"excerpt article 10","2022-12-30T22:22:00.000Z"